z1,z2,consume1,consume2,consume3,consume4
4.993428306,0,359.7482722,0,640.2517264,0
3.723471398,0,395.913101,0,604.0868936,0
5.295377076,0,452.2826133,0,8.79454029,538.9228405
7.046059713,0,190.1806525,0,0,809.8193464
3.531693251,1,526.1595681,6.540958988,0,467.2994887
3.531726086,0,39.86242595,0,960.1375732,0
7.158425631,0,53.63575414,0,82.11413224,864.2501112
5.534869458,1,45.18368521,0,935.6730357,19.14327948
3.061051228,0,291.5020113,0,31.97786118,676.5201243
5.085120087,1,96.5508206,0,0,903.4491787
3.073164614,1,999.9999801,0,0,0
3.068540493,0,708.3605596,0,7.804285141,283.835173
4.483924543,1,1000.000001,0,0,0
0.173439511,1,1000.000004,0,0,0
0.550164335,0,1000,0,0,0
2.875424942,0,999.9999998,0,0,0
1.974337759,1,999.9999999,0,0,0
4.628494665,1,990.7093829,5.252849448,4.037776956,0
2.183951849,1,999.5114196,0.488564539,0,0
1.175392597,0,925.2967009,0,0,74.70333795
6.931297538,1,106.1180425,0,0.026058769,893.8558954
3.548447399,0,999.8673568,0,0.132643446,0
4.135056409,1,851.5131562,0,146.316069,2.170761335
1.150503628,1,999.9999993,0,0,0
2.911234551,1,1000,0,0,0
4.221845179,1,610.5492827,0,0,389.4507158
1.698012845,1,1000.000001,0,0,0
4.751396037,1,992.8182976,0,0,7.181704242
2.79872262,0,999.9999976,0,0,0
3.4166125,1,993.9691536,0.671747609,0,5.359081598
2.796586776,1,1000.000003,0,0,0
7.704556369,0,164.5622557,0,0,835.4377413
3.973005551,0,219.1517801,0,40.01826801,740.8299547
1.884578142,0,973.8375429,0,0,26.16244165
5.645089824,1,999.8321879,0,0,0.167812253
1.5583127,1,999.9999983,0,0,0
4.41772719,0,428.4472177,0,0,571.5527667
0.080659752,1,1000,0,0,0
1.343627902,0,778.7721808,0,3.371267708,217.8565674
4.393722472,1,999.999999,0,0,0
5.47693316,0,864.6742265,0,6.392388394,128.9333869
4.342736562,0,870.9070638,0,0,129.0929382
3.768703435,0,1000,0,0,0
3.397792609,0,927.8236021,12.07839019,26.78896344,33.30899652
1.042956019,1,1000.000008,0,0,0
2.560311583,1,999.9999998,0,0,0
3.078722458,0,999.9999921,0,0,0
6.114244452,0,703.157965,0,296.1264937,0.715546373
4.687236579,0,985.779126,0,14.22087322,0
0.473919689,1,999.9999907,0,0,0
4.648167939,1,915.3298743,0.553364987,0,84.11675482
3.229835439,0,362.1778175,0,0,637.8221714
2.646155999,1,999.4188483,0,0.581149552,0
5.223352578,0,831.9287129,0,5.909907784,162.1613723
6.061999045,1,1000,0,0,0
5.862560238,1,762.7934094,77.01540937,15.25947226,144.9317203
2.321564954,1,999.9999988,0,0,0
3.381575248,1,1000.000003,0,0,0
4.662526863,1,997.3197593,2.680233926,0,0
5.951090254,1,568.2726825,0,0,431.7273136
3.041651524,1,672.8738161,0.591718228,0,326.534456
3.628682047,0,299.6641553,0,697.9010985,2.434759351
1.787330052,0,1000.000001,0,0,0
1.607586752,0,1000.000005,0,0,0
5.625051645,1,18.78518462,0,0,981.2148173
6.712480057,0,31.09792086,0,7.910651777,960.991428
